LSOA21CD,LSOA21NM,GlobalID,EVCI2024,EVCI2023,EVCI2022,EVCI2021,EVCI2020,EVCI2019,EVCI2018,EVCI2017,EVCI2015,EVCI2013,EVCI2012,Fuel,Keepership,y2024Q2,y2024Q1,y2023Q4,y2023Q3,y2023Q2,y2023Q1,y2022Q4,y2022Q3,y2022Q2,y2022Q1,y2021Q4,y2021Q3,y2021Q2,y2021Q1,y2020Q4,y2020Q3,y2020Q2,y2020Q1,y2019Q4,y2019Q3,y2019Q2,y2019Q1,y2018Q4,y2018Q3,y2018Q2,y2018Q1,y2017Q4,y2017Q3,y2017Q2,y2017Q1,y2016Q4,y2016Q3,y2016Q2,y2016Q1,y2015Q4,y2015Q3,y2015Q2,y2015Q1,y2014Q4,y2014Q3,y2014Q2,y2014Q1,y2013Q4,y2013Q3,y2013Q2,y2013Q1,y2012Q4,y2012Q3,y2012Q2,y2012Q1,y2011Q4
E01003383,Merton 009D,e4889461-1770-41c1-89c5-c757ba6825f0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,43.0,61.0,82.0,103.0,105.0,109.0,106.0,111.0,110.0,62.0,36.0,35.0,34.0,7.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003384,Merton 009E,ea5494b3-8880-4d73-a423-c3c8f7b5a1aa,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,42.0,43.0,41.0,39.0,36.0,34.0,33.0,29.0,27.0,26.0,26.0,22.0,21.0,20.0,18.0,17.0,13.0,12.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003385,Merton 011C,ce23bb78-11ca-4f5a-b29c-735365aacfde,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,33.0,35.0,33.0,31.0,31.0,30.0,28.0,27.0,27.0,27.0,25.0,26.0,23.0,20.0,16.0,16.0,11.0,11.0,9.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
E01003386,Merton 013A,d358435f-d7f5-4ea1-833b-93dc94ba7f5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,32.0,26.0,26.0,24.0,21.0,18.0,15.0,14.0,13.0,12.0,11.0,11.0,12.0,9.0,9.0,8.0,6.0,2.5,5.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003387,Merton 014A,8c41a750-d468-406e-8564-246ef81df49d,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,24.0,18.0,15.0,16.0,16.0,16.0,13.0,12.0,12.0,10.0,8.0,9.0,10.0,12.0,10.0,10.0,9.0,7.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003388,Merton 013B,1630a856-3d7f-406a-8cbe-0346330e2353,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,20.0,17.0,15.0,12.0,10.0,10.0,7.0,9.0,8.0,7.0,7.0,6.0,6.0,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003389,Merton 013C,4b37b568-f7a7-48fc-a2de-63ed6b2720cc,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,19.0,20.0,20.0,16.0,13.0,16.0,14.0,13.0,10.0,11.0,11.0,9.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0
E01003390,Merton 018D,f1954a23-1f09-480a-9b47-a0c6f6826d90,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,15.0,13.0,10.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,10.0,9.0,8.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003391,Merton 014B,122d7a7d-70d0-42d2-ab1c-cbb67ac534ed,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,16.0,16.0,16.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,10.0,9.0,8.0,6.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003392,Merton 013D,0a9e4fca-3c04-4f3c-a2b3-cd1498013102,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,23.0,19.0,18.0,16.0,15.0,11.0,11.0,11.0,12.0,9.0,9.0,9.0,8.0,5.0,6.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
